Camsite,Latitude,Longitude,Hdens,Park_ID,Trail,OffTrail,NVDI,People,Det_dist,ABC
Wintergreen 25B,0.3793601,-0.7889106,0.964050674,31,0,1,0.497060169,0,0.7,B
Wintergreen 25C,0.379371,-0.78892,0.920279694,31,0,1,0.47913791,0,1.8,C
Wintergreen 28A,0.3792092,-0.7893382,0.606322479,31,1,0,0.640765448,0.008,0.8,A
Wintergreen 28B,0.3791946,-0.7893361,0.644005394,31,0,1,0.630498277,0,1.1,B
Wintergreen 28C,0.3792207,-0.7893395,0.584924698,31,0,1,0.634617159,0,1.2,C
Wintergreen 29A,0.3792001,-0.7893104,0.66592598,31,1,0,0.515103159,0.002,1.6,A
Wintergreen 29C,0.3792168,-0.7893183,0.623061419,31,0,1,0.49739091,0,1.4,C
Wintergreen 30A,0.3792242,-0.7892948,0.648122501,31,1,0,0.841577542,0.034,1.2,A
Wintergreen 30B,0.3792279,-0.7892959,0.643000269,31,0,1,0.867779024,0,1.6,B
Wintergreen 30C,0.3792395,-0.7892968,0.625301075,31,0,1,0.86102095,0,1.8,C
Wintergreen 31A,0.3791497,-0.7892332,0.870060253,31,1,0,0.896515466,0.008,1.3,A
Wintergreen 32B,0.3791217,-0.789237,0.900817299,31,0,1,0.636038828,0,1.2,B
Wintergreen 33A,0.3791068,-0.7892614,0.878096199,31,1,0,0.763532732,0.015,1.5,A
Wintergreen 3A,0.3791767,-0.7891221,0.971748161,31,1,0,0.612051665,0.119,1.5,A
Wintergreen 3B,0.3791795,-0.7891177,0.973914433,31,0,1,0.611203661,0,1.2,B
Wintergreen 3C,0.3791877,-0.7891046,0.979561043,31,0,1,0.604985442,0,1.2,C
Wintergreen 4A,0.3792105,-0.7891503,0.899880123,31,1,0,0.91027306,0.234,1.4,A
Wintergreen 4B,0.3792093,-0.789156,0.894664001,31,0,1,0.911825846,0,1,B
Wintergreen 4C,0.379198,-0.7891661,0.894312191,31,0,1,0.911227308,0,1.15,C
Wintergreen 5A,0.3792469,-0.7891693,0.823700142,31,1,0,0.869822559,0.112,1.275,A
Wintergreen 5B,0.3792463,-0.7891726,0.820908928,31,0,1,0.882528884,0,1.1,B
Wintergreen 5C,0.3792433,-0.7891802,0.81399765,31,0,1,0.882450831,0,1.1,C
Wintergreen 7A,0.3792883,-0.7892046,0.687509823,31,1,0,0.738519807,0.025,1.15,A
Wintergreen 7B,0.3792787,-0.7892109,0.693809271,31,0,1,0.750519348,0,1.35,B
Wintergreen 7C,0.3792911,-0.7892049,0.681401062,31,0,1,0.75333248,0,1.475,C
Wintergreen 8A,0.3792981,-0.7892232,0.639330435,31,1,0,0.558459473,0.054,1.125,A
