Site,1,2,3,4,5,6,7
George Washington NF 5A,0,1,0,0,0,0,0
George Washington NF 5B,0,0,0,0,0,0,0
George Washington NF 5C,0,0,0,0,0,0,0
George Washington NF 7A,0,0,0,0,0,0,0
George Washington NF 7B,1,0,0,0,0,0,0
George Washington NF 7C,0,0,0,0,0,0,0
George Washington NF 8A,0,0,0,0,0,0,0
George Washington NF 9A,0,0,0,0,0,0,0
George Washington NF 9B,0,0,0,0,0,0,0
George Washington NF 9C,0,0,0,0,0,0,0
Greenbelt Park 10A,0,0,0,0,0,0,0
Greenbelt Park 10B,0,0,0,0,0,0,0
Greenbelt Park 10C,0,0,0,0,0,0,0
Greenbelt Park 14A,0,0,0,0,0,0,0
Greenbelt Park 14B,0,0,0,0,0,0,0
Greenbelt Park 14C,0,0,0,0,0,0,0
Greenbelt Park 22B,0,0,0,0,0,0,0
